name;sku;price;quantity;description
American Elm;49288-0191;906918;7;Beam Radiation of Rectum using Photons 1 - 10 MeV
Gabapentin;49349-967;452609;5;Insertion of Intraluminal Device into Stomach, Percutaneous Endoscopic Approach
Anticavity;49035-163;322381;38;Occlusion of Right Large Intestine, Percutaneous Endoscopic Approach
SHISEIDO SHEER AND PERFECT FOUNDATION;58411-117;833232;15;Destruction of Left Ankle Joint, Percutaneous Endoscopic Approach
Metoclopramide;0603-4615;362995;82;Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Approach
RUE21 Posh Antibacterial Hand Sanitizer;50563-144;146054;79;Extirpation of Matter from Right Hepatic Duct, Open Approach
Lotensin;30698-449;813034;52;Removal of Autologous Tissue Substitute from Right Shoulder Joint, Percutaneous Endoscopic Approach
Avitears;49869-002;153994;19;Removal of Extraluminal Device from Bladder, Percutaneous Approach
BROMUS INERMIS POLLEN;0268-1089;149423;91;Transfer Olfactory Nerve to Trigeminal Nerve, Percutaneous Endoscopic Approach
SCROPHULOUS HP;43406-0043;403975;65;Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Open Approach
Sleep Aid;30142-441;817654;37;Introduction of Radioactive Substance into Peripheral Artery, Open Approach
flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP16 Beige;61722-165;317419;78;Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Bio-Z-Cough;45737-251;906130;29;Beam Radiation of Bile Ducts using Neutrons
Lidocaine Hydrochloride;67457-506;507139;56;Revision of Drainage Device in Left Ankle Joint, External Approach
Zepaseptic;66949-928;163364;26;Reposition Left Parietal Bone, External Approach
Allerstat;44911-0111;334177;29;Reattachment of Left Index Finger, Open Approach
Adderall;0555-0768;17046;48;Fluoroscopy of Left Jugular Veins using Other Contrast, Guidance
Low Dose Chewable Aspirin;70253-218;333919;44;Supplement Right Temporal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Lamotrigine;51079-865;616322;21;Dilation of Left Face Vein with Intraluminal Device, Percutaneous Approach
Venlafaxine Hydrochloride;65862-697;492057;81;Insertion of Intraluminal Device into Right Common Carotid Artery, Open Approach
take cover anti-aging foundation;51389-116;457910;2;Revision of Nonautologous Tissue Substitute in Left Sternoclavicular Joint, Percutaneous Approach
STOOL SOFTENER;49348-714;759164;55;Reposition Right Patella with Internal Fixation Device, Percutaneous Endoscopic Approach
DOCTOR HOYS Arnica Boost;10842-200;57259;58;Dilation of Left Renal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Isopropyl alcohol;53441-275;405081;95;Dilation of Right Subclavian Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Oregon Ash;36987-2487;588358;59;Resection of Hymen, Open Approach
DICYCLOMINE HYDROCHLORIDE;49349-082;440665;25;Removal of Intraluminal Device from Lower Artery, Open Approach
MILK OF MAGNESIA CHERRY;63868-310;916757;58;Extirpation of Matter from Left Lower Arm and Wrist Muscle, Open Approach
Jafra;68828-108;925498;35;Supplement Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Citalopram;42254-066;21574;66;Insertion of Monitoring Device into Urethra, Percutaneous Endoscopic Approach
phentermine hydrochloride;0185-0644;573507;84;Revision of Monitoring Device in Heart, Percutaneous Approach
Phenobarbital;0143-1445;295718;68;Revision of Drainage Device in Vas Deferens, External Approach
Acetylcysteine;55154-5731;439126;18;Repair Upper Back, Percutaneous Approach
Glucotrol;55289-125;834888;98;Excision of Left Temporomandibular Joint, Open Approach
Doxazosin;60505-0094;311462;83;Revision of Drainage Device in Right Ear, Percutaneous Approach
FIBRICOR;13310-102;510596;3;Replacement of Ampulla of Vater with Synthetic Substitute, Percutaneous Endoscopic Approach
Warfarin Sodium;16590-340;447573;2;Drainage of Right Renal Vein with Drainage Device, Percutaneous Approach
Prostigmin;0187-3100;945057;92;Destruction of Left Upper Extremity Lymphatic, Percutaneous Approach
Sodium Chloride;63323-186;424353;28;Bypass Abdominal Aorta to Right External Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Nuvel Hand Sanitizer;49897-066;471330;7;Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
Total Uranium;61657-0965;564961;87;Revision of Synthetic Substitute in Upper Intestinal Tract, Percutaneous Endoscopic Approach
ANTIBACTERIAL HSOAP;59779-720;495704;58;Removal of Radioactive Element from Vagina and Cul-de-sac, Percutaneous Approach
REFRESH PLUS;0023-0403;899408;15;Removal of Synthetic Substitute from Coccygeal Joint, Percutaneous Endoscopic Approach
Carvedilol;65841-619;643101;49;Division of Left Hand Tendon, Percutaneous Endoscopic Approach
AMARANTHUS TUBERCULATUS POLLEN;0268-6794;305490;96;Transfusion of Embryonic Stem Cells into Central Vein, Percutaneous Approach
Advanced Lightning;24623-042;909997;58;Dilation of Left External Carotid Artery with Four or More Intraluminal Devices, Percutaneous Approach
Sweet Gum;36987-3037;166053;33;Removal of Synthetic Substitute from Lumbar Vertebral Disc, Percutaneous Approach
Sheep Sorrel;36987-3422;667804;13;Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Open Approach
Irinotecan Hydrochloride;61703-349;61795;37;Replacement of Right Tympanic Membrane with Synthetic Substitute, Open Approach
REPREXAIN;23710-900;563335;59;Drainage of Left Shoulder Muscle, Percutaneous Approach, Diagnostic
Acetic Acid;0603-7038;592535;92;Excision of Uterine Supporting Structure, Percutaneous Endoscopic Approach, Diagnostic
Losartan potassium and Hydrochlorothiazide;33342-051;51011;68;Extirpation of Matter from Oral Cavity and Throat, External Approach
homeopathic HCG;57520-0161;940124;90;Transfer Left Lower Leg Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach
Treatment Set TS347628;49288-0884;174257;91;Extirpation of Matter from Right Axillary Vein, Percutaneous Approach
Fluconazole;55289-824;942642;60;Extirpation of Matter from Right Ankle Joint, Percutaneous Approach
ALNUS INCANA SSP RUGOSA POLLEN;0268-6601;856796;62;Restriction of Right Axillary Artery, Open Approach
Levocarnitine;0517-1045;182050;90;Repair Small Intestine, Percutaneous Endoscopic Approach
Smart Sense Allergy and Congestion Relief-D;49738-375;720011;34;Low Dose Rate (LDR) Brachytherapy of Pleura using Other Isotope
Alprazolam;68084-672;973941;22;Drainage of Right Upper Extremity, Percutaneous Endoscopic Approach
Hyperactivity - Mental Focus;55714-2316;863093;25;Supplement Cecum with Nonautologous Tissue Substitute, Open Approach
Tinactin;11523-0777;487169;61;Upper Arteries, Revision
Kids Cough and Fever Relief;59262-259;744830;18;Excision of Left External Carotid Artery, Percutaneous Approach
Laxacin;50488-0901;608942;42;Supplement Left Hand with Autologous Tissue Substitute, Open Approach
Bortons Ethyl Rubbing Alcohol;50790-100;689634;10;Control Bleeding in Cranial Cavity, Percutaneous Endoscopic Approach
Dexamethsone;51655-012;794131;85;Excision of Spleen, Open Approach
OC Eight;42485-003;367767;4;Destruction of Common Bile Duct, Percutaneous Endoscopic Approach
Regular Strength Pain Reliever;0363-0104;466414;41;Fusion of Left Tarsal Joint with Synthetic Substitute, Percutaneous Endoscopic Approach
Cilostazol;60429-363;741109;64;Extirpation of Matter from Thoracic Sympathetic Nerve, Percutaneous Approach
CitraNatal Rx;0178-0859;931016;9;Planar Nuclear Medicine Imaging of Chest and Neck using Gallium 67 (Ga-67)
AVANDAMET;0173-0840;717120;84;Plain Radiography of Bilateral Abdominal/Retroperitoneal Lymphatics using Low Osmolar Contrast
Sunmark Hydrocortisone with Aloe;49348-521;454951;58;Replacement of Right Shoulder Joint with Synthetic Substitute, Glenoid Surface, Open Approach
Flagyl;0025-1942;142755;56;Supplement Left Renal Vein with Synthetic Substitute, Percutaneous Approach
BAMBOO SALT Eunganggo Jook Yeom Toothpaste;53208-459;910884;16;Supplement Left Breast with Autologous Tissue Substitute, External Approach
equaline antacid;41163-179;236771;13;Replacement of Right Temporal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
pravastatin sodium;61786-046;163235;28;Fusion of Lumbosacral Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach
Best Health Sore Throat Relief Cherry Flavor;52642-010;22606;97;Occlusion of Right Internal Jugular Vein, Percutaneous Approach
Infection Complex;52731-7032;550350;65;Drainage of Right Ankle Region with Drainage Device, Percutaneous Approach
MELOXICAM;16590-434;993485;97;Reattachment of Head and Neck Bursa and Ligament, Open Approach
Epinephrine;43742-0186;21792;65;Excision of Thoracic Nerve, Percutaneous Endoscopic Approach
H Acne Formula;57520-1111;182179;80;Excision of Chest Wall, External Approach
Acebutolol Hydrochloride;42291-102;803529;59;Release Left Knee Joint, Percutaneous Endoscopic Approach
Intense Care Snail Skin;59078-010;842634;80;Bypass Sigmoid Colon to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Antibacterial Foaming Hand Cleanser;50988-175;589012;61;Reposition Right Radius with External Fixation Device, Percutaneous Approach
HOUSE DUST;0268-0010;121209;69;Bypass Sigmoid Colon to Cutaneous with Synthetic Substitute, Open Approach
Aspirin;68151-2904;837261;51;Excision of Right Pleura, Percutaneous Approach, Diagnostic
Meperidine Hydrochloride;0603-4416;134850;60;Occlusion of Cecum with Extraluminal Device, Open Approach
Neosporin Plus Pain Relief Neo To Go First Aid Antiseptic Pain Relieving;58232-0711;242053;73;Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach
CEFACLOR;43063-194;513917;78;Repair Endocrine System in Products of Conception, Via Natural or Artificial Opening
Guanfacine;0591-0453;704679;30;Insertion of Other Device into Right Lower Leg, Open Approach
Diamox Sequels;52125-070;883524;64;Supplement Left Ankle Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Aspirin;62011-0003;911216;71;Dilation of Right Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
CASUARINA EQUISETIFOLIA POLLEN;0268-1378;769734;46;Removal of External Fixation Device from Right Metacarpocarpal Joint, Percutaneous Approach
SODIUM SULFACETAMIDE;44523-613;41383;69;Excision of Left Trunk Muscle, Percutaneous Endoscopic Approach
Kleenex Antiseptic Skin Cleanser;55118-571;313074;39;Extirpation of Matter from Right Trunk Bursa and Ligament, Percutaneous Endoscopic Approach
Paroxetine Hydrochloride;49349-255;755872;47;Transfer Right Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Open Approach
DG Health nasal decongestant pe;55910-094;477259;60;Ultrasonography of Left Jugular Veins
Acetaminophen;55315-333;761799;13;Drainage of Left Tympanic Membrane, Via Natural or Artificial Opening Endoscopic
METOPROLOL SUCCINATE;60760-977;528152;61;Extirpation of Matter from Thoracic Aorta, Descending, Open Approach
Ringers;0338-0105;852943;14;Occlusion of Mesenteric Lymphatic, Open Approach
Super Hero;49291-0003;549503;74;Revision of Infusion Device in Left Knee Joint, Open Approach
Anti-Bacterial Hand Sanitizer;62670-4780;821124;59;Immobilization of Right Lower Arm using Cast
Acne;57520-0710;868777;68;Insertion of Internal Fixation Device into Left Tibia, Percutaneous Endoscopic Approach
ShopRite Ibuprophen;41190-647;83086;61;Removal of Autologous Tissue Substitute from Right Lower Extremity, Percutaneous Approach
MECLIZINE HYDROCHLORIDE;54868-0089;66676;4;Extirpation of Matter from Right Greater Saphenous Vein, Open Approach
Losartan Potassium;58118-7366;4492;70;Destruction of Right Sacroiliac Joint, Percutaneous Approach
Cockroach American;36987-1801;288231;18;Excision of Dura Mater, Percutaneous Endoscopic Approach
CHANTECAILLE PROTECTION NATURELLE BRONZE SPF 46;42893-030;364571;71;Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Acetaminophen, Guaifenesin, Phenylephrine Hydrochloride;57344-119;485077;24;Release Thoracic Sympathetic Nerve, Percutaneous Approach
Hemorrhoid Control;51393-6446;689895;66;Introduction of Radioactive Substance into Male Reproductive, Via Natural or Artificial Opening Endoscopic
Levofloxacin;43063-457;42157;71;Removal of Radioactive Element from Neck, Percutaneous Endoscopic Approach
Warfarin Sodium;51672-4034;864782;95;Replacement of Left Choroid with Synthetic Substitute, Open Approach
Olanzapine;55154-5877;604277;93;Reposition Right Tympanic Membrane, Open Approach
MUSCLE SORENESS HEADACHE;64117-277;922866;72;Supplement of Left Upper Arm Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach
Topiramate;59115-127;520683;67;Plain Radiography of Left Clavicle
Queen Perfume Hair Conditioner;60344-6001;612556;70;Alteration of Left Wrist Region, Open Approach
telmisartan and hydrochlorothiazide;0054-0547;634919;5;Fluoroscopy of Left Subclavian Vein
cyclobenzaprine hydrochloride;53808-1039;46254;44;Revision of Autologous Tissue Substitute in Right Rib, Percutaneous Approach
Lexapro;0456-2010;840652;12;Plain Radiography of Kidneys, Ureters and Bladder using Other Contrast
Ampicillin;0781-3408;686472;54;Reposition Lower Tooth with External Fixation Device, All, Open Approach
PENICILLIN G POTASSIUM;0338-1021;207267;6;Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Ortho Cept;50458-196;791889;52;Occlusion of Left Anterior Tibial Artery, Percutaneous Approach
Amlodipine Besylate;0378-5208;398426;41;Revision of Drainage Device in Right Toe Phalangeal Joint, Open Approach
Pamidronate Disodium;63323-734;408896;4;Insertion of Monoplanar External Fixation Device into Right Tibia, Open Approach
H-Jock Itch Formula;61077-088;240056;51;Dilation of Left Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Valacyclovir Hydrochloride;51655-955;454477;1;Bypass Jejunum to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
SHISEIDO THE SKINCARE TINTED MOISTURE PROTECTION;52686-260;726523;8;Restriction of Lower Esophagus with Extraluminal Device, Percutaneous Approach
SPARTAN LITE N FOAMY E2 HAND WASH AND SANITIZER;64009-511;331238;42;Voice Prosthetic Device Fitting using Speech Prosthesis
Carvedilol;76237-133;258523;72;Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening
Zhuang Gu She Xiang Zhi Tong Gao;42217-203;891677;76;Reposition Right Upper Leg Tendon, Open Approach
Diltiazem Hydrochloride;55289-853;154586;88;Reposition Right Ankle Joint, Percutaneous Endoscopic Approach
Ceramide Lift and Firm Makeup Broad Spectrum Sunscreen SPF 15 Spice;67938-0951;123629;84;Integumentary Integrity Assessment of Musculoskeletal System - Upper Back / Upper Extremity
Kids Allergy Eye Relief;59262-361;729087;99;Supplement Left Basilic Vein with Nonautologous Tissue Substitute, Open Approach
LBEL;13537-496;663074;5;Bypass Right Foot Vein to Lower Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Oxygen;62914-1000;797971;81;Drainage of Right Knee Bursa and Ligament, Open Approach
bioCorneum plus SPF 30 advanced SCAR SUPERVISION;43474-001;592784;1;Ultrasonography of Right Heart, Intravascular
Lamotrigine;51672-4139;632792;41;Repair Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach
CLONIDINE HYDROCHLORIDE;51138-019;816404;44;Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach
Pepto-Bismol;37000-018;697718;20;Bypass Right Atrium to Pulmonary Trunk, Open Approach
Red Mulberry;36987-2808;917994;99;Division of Left Radius, Percutaneous Approach
AHC Hydration Special Gen Serum;58930-030;283649;21;Computerized Tomography (CT Scan) of Right Humerus using Other Contrast
good neighbor pharmacy cough and sore throat;24385-135;762752;7;Resection of Right Carotid Body, Open Approach
SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL);52686-256;331139;73;Removal of Synthetic Substitute from Left Metatarsal-Tarsal Joint, Percutaneous Approach
Didanosine;0555-0588;839518;74;Restriction of Intracranial Artery with Extraluminal Device, Percutaneous Endoscopic Approach
Nicotine Polacrilex;49226-206;927098;67;Beam Radiation of Stomach using Photons >10 MeV
Salt Grass;36987-2397;957316;70;Magnetic Resonance Imaging (MRI) of Left Eye using Other Contrast, Unenhanced and Enhanced
Fluvoxamine Maleate;0228-2848;310644;94;Performance of Urinary Filtration, Single
Hay Fever;59667-0032;750171;5;Bypass Right Axillary Artery to Lower Arm Vein with Synthetic Substitute, Open Approach
FENTORA;63459-542;94936;66;Drainage of Right Femoral Shaft, Open Approach
LANEIGE Snow BB No,1 Brightening BB;43419-730;486999;85;Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening
Fluconazole;68788-9926;614843;73;Removal of Monitoring Device from Upper Artery, Percutaneous Approach
No7 Stay Perfect Foundation Compact Sunscreen SPF 15 New Ivory;68472-050;666955;30;Division of Right Neck Muscle, Open Approach
Glycopyrrolate;0641-6035;47652;33;Extraction of Lumbosacral Plexus, Percutaneous Endoscopic Approach
NITROUS OXIDE;42411-041;8794;14;Extirpation of Matter from Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach
Barriere;65197-426;627361;9;Excision of Bilateral Lungs, Via Natural or Artificial Opening, Diagnostic
Tamsulosin Hydrochloride;49349-401;95300;10;Drainage of Right Upper Extremity Bursa and Ligament with Drainage Device, Open Approach
SUPER AQUA MAX WHITE C WATERFUL TONER;51346-127;967389;67;Excision of Coccyx, Open Approach, Diagnostic
Hand Cleanse;58503-009;175413;66;Release Penis, Percutaneous Endoscopic Approach
Thiothixene;0378-5010;361883;32;Release Left Hip Bursa and Ligament, External Approach
Ampicillin and Sulbactam;0641-6117;167550;19;Removal of External Fixation Device from Right Metatarsal-Tarsal Joint, Open Approach
Midazolam HCl;52533-001;110104;17;Reposition Right Zygomatic Bone, Percutaneous Endoscopic Approach
Clonazepam;0228-3003;401793;55;Alteration of Right Lower Arm with Autologous Tissue Substitute, Percutaneous Approach
NARS FOUNDATION;13734-116;497978;62;Change Brace on Right Finger
999 ITCH RELIEF;12753-930;208740;96;Inspection of Omentum, Open Approach
Dog Epithelium;36987-1011;503506;21;Removal of Traction Apparatus on Right Upper Arm
Gas Relief;55319-242;684486;37;Occlusion of Innominate Artery, Percutaneous Endoscopic Approach
Olanzapine;0904-6286;54132;90;Occlusion of Lower Artery with Extraluminal Device, Percutaneous Approach
Patricia Wexler Universal Anti-Aging Moisturizer with Sunscreen Broad Spectrum SPF 28;62670-8043;780612;84;Insertion of Intraluminal Device into Right External Jugular Vein, Percutaneous Approach
Nortriptyline Hydrochloride;0093-0813;733800;93;Reposition Right Maxilla with Internal Fixation Device, Open Approach
Pepper Tree Pollen;36987-2937;258786;41;Revision of Nonautologous Tissue Substitute in Left Tympanic Membrane, Via Natural or Artificial Opening
ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE;54868-5503;985054;94;Excision of Left Upper Femur, Percutaneous Approach, Diagnostic
MooreBrand Ibuprofen;55670-133;289909;13;Reposition Left Humeral Shaft with Ring External Fixation Device, Percutaneous Endoscopic Approach
thrombin human;63713-461;461344;33;Revision of Autologous Tissue Substitute in Cranial Nerve, Percutaneous Endoscopic Approach
Nicorette;0135-0466;362857;43;Bypass Right Internal Jugular Vein to Upper Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Insomnia Plus;57520-0611;94336;5;Replacement of Left Atrium with Zooplastic Tissue, Open Approach
Atenolol;68382-022;552070;56;Restriction of Inferior Vena Cava with Extraluminal Device, Open Approach
TAMSULOSIN HYDROCHLORIDE;0904-6156;203841;36;Revision of Drainage Device in Thoracic Duct, Percutaneous Endoscopic Approach
Ceftriaxone;68330-004;229348;30;Excision of Left Knee Joint, Percutaneous Endoscopic Approach
Sildenafil;0179-0160;948990;65;Reposition Right Upper Leg Tendon, Percutaneous Endoscopic Approach
Linkus Lozenges;44237-005;641899;30;Reposition Right Mandible with Internal Fixation Device, Open Approach
Clear Complexion Toner;57627-102;871397;72;Computerized Tomography (CT Scan) of Intracranial Sinuses using Other Contrast, Unenhanced and Enhanced
Levofloxacin;55648-547;632341;77;Replacement of Neck Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach
Pantoprazole Sodium;52125-966;223470;47;Removal of Infusion Device from Right Hip Joint, Percutaneous Approach
C-Plus;54973-7505;939727;15;Creation of Vagina in Male Perineum with Nonautologous Tissue Substitute, Open Approach
Strophanthus Aurum Special Order;48951-8250;580677;33;Drainage of Jejunum, Open Approach
DR. S. WONGS ACNE TREATMENT SULPHUR;58929-300;511409;44;Bypass Left Ureter to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Cardizem LA;0187-2046;223828;20;Bypass Right Common Carotid Artery to Right Extracranial Artery, Open Approach
Gallbladder Liver Meridian Formula;43742-0175;367945;94;Dilation of Left Brachial Artery, Percutaneous Approach
MVC-Fluoride;44946-1021;322574;36;Bypass Right Internal Iliac Artery to Foot Artery, Percutaneous Endoscopic Approach
Aricept;54868-4245;634606;18;Imaging, Ear, Nose, Mouth and Throat, Plain Radiography
citroma;50804-686;62188;85;Repair Cisterna Chyli, Percutaneous Approach
Precedex;0409-1638;533466;45;Revision of Autologous Tissue Substitute in Lower Intestinal Tract, External Approach
Lidocaine Hydrochloride;55154-2371;86881;39;Supplement Right Cephalic Vein with Autologous Tissue Substitute, Percutaneous Approach
Australian Gold;13630-0026;337587;76;Drainage of Left Foot Tendon with Drainage Device, Open Approach
Trichophyton Mixture;49288-0576;482251;28;Replacement of Right Lower Leg Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach
Risperidone;63304-951;511343;64;Drainage of Vagina, Percutaneous Approach
Kadian;54868-4573;467696;88;Repair Perineum Bursa and Ligament, Percutaneous Endoscopic Approach
Nu Skin Sunright 50 Broad Spectrum SPF 50;62839-1345;781547;90;Bypass Left Internal Iliac Artery to Right External Iliac Artery with Autologous Venous Tissue, Open Approach
Maxiphen DM;58605-423;366433;84;Insertion of Infusion Device into Left Wrist Joint, Percutaneous Approach
Lorazepam;55154-3826;501912;71;Revision of Infusion Device in Right Ankle Joint, Percutaneous Endoscopic Approach
Nu Skin Nu Colour;62839-1102;135353;24;Drainage of Right Eustachian Tube with Drainage Device, Via Natural or Artificial Opening Endoscopic
TENUE DE PERFECTION TIMEPROOF FOUNDATION WITH SUNSCREEN ULTIMATE LASTING PERFECTION BROAD SPECTRUM SPF 20 12 ROSE CLAIR;49817-0071;817675;8;Excision of Left Pelvic Bone, Percutaneous Approach
Everyday Facial Moisturizer And Sunscreen SPF 20;76230-727;996727;76;Removal of Stimulator Lead from Upper Artery, External Approach
Ciprofloxacin;52959-739;24428;94;Resection of Left Lower Lobe Bronchus, Open Approach
Sulfamethoxazole and Trimethoprim;65862-496;920920;23;Reattachment of Uvula, Open Approach
